Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
C1,TDK,C0402C0G1C101J020BC,1,0.03,1.68,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 16 V  ESR: 0 Ω  Package: 01005  
Rfbt,Susumu Co Ltd,RG1608P-1872-B-T5,1,0.06,4.68,Resistance: 18.7 kΩ  Tolerance: 0.1%  Power: 100 mW  
Ccomp,TDK,CGA4J2C0G1H333J125AA,1,0.08,6.75,Cap: 33 nF  Total Derated Cap: 33 nF  VDC: 50 V  ESR: 0 Ω  Package: 0805  
M1,Texas Instruments,CSD15571Q2,1,0.1,9,VdsMax: 20 V  IdsMax: 22 Amps  
Cout,CUSTOM,CUSTOM,1,NA,NA,Cap: 46.73 µF  Total Derated Cap: 47 µF  VDC: 10 V  ESR: 1 µΩ  Package: null  
Cs,TDK,C2012X6S1C685K125AC,1,0.11,6.75,Cap: 6.8 µF  Total Derated Cap: 5 µF  VDC: 16 V  ESR: 3.79 mΩ  Package: 0805  
Cvcc,TDK,C1005X6S1C105K050BC,1,0.02,3,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 16 V  ESR: 11.42 mΩ  Package: 0402  
Rcs,Vishay-Dale,CRCW0402100RFKED,1,0.01,3,Resistance: 100 Ω  Tolerance: 1.0%  Power: 63 mW  
Rt,Vishay-Dale,CRCW020144K2FNED,1,0.01,2.08,Resistance: 44.2 kΩ  Tolerance: 1.0%  Power: 50 mW  
U1,Texas Instruments,LM34966QPWPRQ1,1,0.831,58.8,
Rent,Yageo,RT0603BRD0713KL,1,0.04,4.68,Resistance: 13 kΩ  Tolerance: 0.1%  Power: 100 mW  
Ccs,TDK,C0402C0G1C101J020BC,1,0.03,1.68,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 16 V  ESR: 0 Ω  Package: 01005  
Cin,TDK,C2012X7S1A226M125AC,1,0.26,6.75,Cap: 22 µF  Total Derated Cap: 9.2 µF  VDC: 10 V  ESR: 1 mΩ  Package: 0805  
L1,CUSTOM,CUSTOM,1,NA,NA,Ns1toNp: 1   Lp: 5.84 µH  Leakage_L: 116.86 nH  
Rcomp,Vishay-Dale,CRCW04022K55FKED,1,0.01,3,Resistance: 2.55 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rsns,CUSTOM,CUSTOM,1,NA,NA,Resistance: 33.77 mΩ  Tolerance: 0.0%  Power: 0 W  
Cbias,MuRata,GRM155R70J104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 6.3 V  ESR: 1 mΩ  Package: 0402  
D1,Vishay-Semiconductor,50WQ04FNPBF,1,0.4002,101.71,Type: Schottky  VRRM: 40 V  Io: 5.5 A  
Rfbb,Susumu Co Ltd,RG1608P-472-B-T5,1,0.04,4.68,Resistance: 4.7 kΩ  Tolerance: 0.1%  Power: 100 mW  
Ccomp2,MuRata,GRM1555C1H751GA01D,1,0.04,3,Cap: 750 pF  Total Derated Cap: 750 pF  VDC: 50 V  ESR: 0 Ω  Package: 0402  
Renb,Susumu Co Ltd,RG1608P-103-B-T5,1,0.04,4.68,Resistance: 10 kΩ  Tolerance: 0.1%  Power: 100 mW  
Css,Kemet,C1210C224J3GACTU,1,1.63,14.7,Cap: 220 nF  Total Derated Cap: 220 nF  VDC: 5 V  ESR: 0 Ω  Package: 1210  