Item,Qty,QTY for 3,Reference(s),Value,MPN
1,7,42,"C1, C12, C13, C15, C16, C29, C30",10uF,F981A106MMUAJ6
2,2,12,"C2, C9",CL1,CGA2B2C0G1H060D050BA
3,6,36,"C3, C5, C6, C8, C33, C35",100nF,GRT155R71C104KE01J
4,1,6,C4,1uF,TACL105K016XTA
5,2,12,"C7, C11",10 nF,GRT155R71C103KE01J
7,3,18,"C10, C22, C27",1nF,GCM155R71H102KA37J
8,1,6,C14,C,CC0402KRX7R7BB152
9,2,12,"C17, C18",1 uF,TACL105K016XTA
10,5,30,"C19, C24, C31, C32, C34",22 uF,CGA6P1X7R1C226M250AC
11,2,12,"C20, C25",2.2 uF,CGA3E1X7S1C225M080AC
12,2,12,"C21, C26",22nF,AC0402KRX7R7BB223
13,2,12,"C23, C28",10nF,GRT155R71C103KE01J
14,25,150,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27",TVS,ESD321DPYR
15,1,3,D28,LTST-C193KRKT-5A,LTST-C193KRKT-5A
16,3,9,"EXT1, EXT2, EXT3",Male Conn.,14562042
17,1,3,EXT4,Male Connector,1-353293-6
18,1,3,EXT5,Photodiodes (8),SFH 203 P
19,1,3,EXT6,PWR Banana Plugs,1325-02
20,1,3,EXT7,Power Male Connector,3-640427-2
21,2,6,"EXT8, EXT9",Male MTR Conn.,14562042
22,1,3,EXT10,NiCr Wire Connector,3-640427-2
24,1,3,IC1,TPS25940LRVCR,TPS25940LRVCR
25,1,3,IC2,LP5912Q3.3DRVRQ1,LP5912Q3.3DRVRQ1
26,1,3,J1,Conn_02x08_Odd_Even,3-1734506-1
27,3,9,"J2, J3, J5",70543-0108,70543-0108
28,1,3,J4,Conn_01x05,2PH1-10-UA-SMT-A
29,1,3,J6,Conn_01x16,1-292230-6
30,2,6,"J7, J11",105431-1202,105431-1202
31,1,3,J8,10103594-0001LF,10103594-0001LF
32,2,6,"J9, J10",171973-0004,171973-0004
34,1,3,JP1,Jumper_3_Open,2PH1-10-UA-SMT-A
35,1,3,L1,220 nH,IHLP1212AEERR22M11
36,2,6,"Q1, Q2",NVR5198NLT1G,NVR5198NLT1G
37,1,3,Q3,IRLML6244TRPBF,IRLML6244TRPBF
38,4,24,"R1, R2, R5, R31",4.7k,AC0402FR-134K7L
39,2,12,"R3, R28",200k,AC0603FR-07200KL
40,1,6,R4,16.8k,AC0402FR-0716K9L
41,6,36,"R6, R8, R18, R26, R29, R30",100k,RMCF0402FT100K
42,1,6,R7,374k,RC0402FR-07374KL
43,1,6,R9,147k,RC0402FR-07147KL
44,1,6,R10,300k,RC0402JR-07300KL
45,1,6,R11,15k,AC0603FR-0715KL
46,2,12,"R12, R20",2.2k,AC0402FR-072K2L
47,6,36,"R13, R14, R15, R21, R22, R23",18k,AC0402FR-0718KL
48,4,24,"R16, R17, R24, R25",330m,KRL1632E-M-R330-F-T5
49,2,12,"R19, R27",1k,AC0402FR-131KL
50,1,6,R32,270,CRGCQ0402F270R
51,1,3,S1,KSR253GLFG,KSR253GLFG
53,1,3,U1,STM32L476RGTx,STM32L476RGT3
54,1,3,U2,CD4051B,CD4051BQPWRG4Q1
55,1,3,U3,LM321,LM321LVIDBVR
56,2,6,"U4, U5",NCV68261MTWAITBG,NCV68261MTWAITBG
57,2,6,"U6, U7",STSPIN220,STSPIN220
58,1,3,U8,TPS62867RQYR,TPS62867RQYR
59,1,3,U11,USBLC6-2SC6,USBLC6-2SC6
60,1,3,Y1,ECS_Chrystal_,ECS-160-8-36Q-AES-TR